Collection,Book Title,Author,Language,Domain,File Type,Chunks,Size (MB),File Name,Ingested At
alexandria,The C4 model for visualising software architecture,Simon Brown,unknown,technical,EPUB,43,10.37,The C4 model for visualising software arch - Simon Brown.epub,2026-01-23
alexandria,Pablo Neruda,Adam Feinstein,unknown,technical,EPUB,179,8.73,Pablo Neruda - Adam Feinstein.epub,2026-01-23
alexandria,Blue Bamboo: Tales by Dazai Osamu,Osamu Dazai,unknown,technical,EPUB,84,0.44,Blue Bamboo_ Tales by Dazai Osamu - Osamu Dazai.epub,2026-01-23
alexandria,Pablo Neruda,Adam Feinstein,unknown,technical,EPUB,179,8.73,Pablo Neruda - Adam Feinstein.epub,2026-01-23
alexandria,From Hamas to America,Mosab Hassan Yousef,unknown,technical,EPUB,91,0.94,From Hamas to America - Mosab Hassan Yousef.epub,2026-01-23
alexandria,"The Statesman and the Storyteller: John Hay, Mark Twain, and the Rise of American Imperialism",Mark Zwonitzer,unknown,technical,EPUB,250,1.57,The Statesman and the Storyteller_ John Ha - Mark Zwonitzer.epub,2026-01-23
alexandria,The Setting Sun,Osamu Dazai,unknown,technical,PDF,78,5.85,The Setting Sun - Osamu Dazai.pdf,2026-01-23
alexandria,The Flowers of Buffoonery,Osamu Dazai,unknown,technical,PDF,34,0.63,The Flowers of Buffoonery - Osamu Dazai.pdf,2026-01-23
alexandria,The Benedict Option: A Strategy for Christians in a Post-Christian Nation,Rod Dreher,unknown,technical,EPUB,90,0.82,The Benedict Option_ A Strategy for Christ - Rod Dreher.epub,2026-01-23

TOTAL,,,,,,1028,38.06474208831787,,
